fiscal_year,month,state,volume,volume_contribution,value,value_contribution,units,notes
2025-26,May,Dadra and Nagar Haveli and Daman and Diu,12.48,0.07,1306.18,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Delhi,605.31,3.24,72520.26,2.88,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Goa,40.1,0.21,5659.28,0.23,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Gujarat,585.79,3.14,85134.34,3.39,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Haryana,462.67,2.48,65952.89,2.62,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Himachal Pradesh,68.39,0.37,8430.37,0.34,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Jammu and Kashmir,94.39,0.51,11815.9,0.47,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Jharkhand,229.1,1.23,30563.83,1.22,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Karnataka,1443.05,7.73,200378.42,7.97,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Kerala,397.08,2.13,56646.28,2.25,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Ladakh,4.33,0.02,724.92,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Lakshadweep,0.52,0.0,59.61,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Madhya Pradesh,688.25,3.68,92795.08,3.69,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Maharashtra,2463.88,13.19,297260.99,11.82,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Manipur,15.37,0.08,3092.24,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Meghalaya,16.86,0.09,2289.9,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Mizoram,10.92,0.06,1750.44,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Nagaland,12.5,0.07,1943.79,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Odisha,416.5,2.23,52003.42,2.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Puducherry,18.93,0.1,2644.69,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Punjab,224.47,1.2,38466.52,1.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Rajasthan,763.44,4.09,112439.7,4.47,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Sikkim,9.76,0.05,1358.66,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Tamil Nadu,859.85,4.6,130583.67,5.19,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Telangana,1088.58,5.83,174971.59,6.96,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Tripura,14.82,0.08,1968.89,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Unclassified,4169.47,22.31,499719.76,19.86,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Uttar Pradesh,1401.43,7.5,182118.99,7.24,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,Uttarakhand,141.43,0.76,17646.59,0.7,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,May,West Bengal,579.06,3.1,87037.14,3.46,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Andaman and Nicobar Islands,3.79,0.02,619.48,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Andhra Pradesh,602.36,3.37,105315.39,4.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Arunachal Pradesh,18.42,0.1,2612.54,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Assam,218.83,1.22,25997.91,1.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Bihar,577.79,3.23,82713.97,3.45,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Chandigarh,29.74,0.17,3711.18,0.15,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Chhattisgarh,152.75,0.85,19636.2,0.82,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Dadra and Nagar Haveli and Daman and Diu,11.91,0.07,1205.3,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Delhi,527.0,2.95,64152.87,2.68,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Goa,36.36,0.2,5041.14,0.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Gujarat,538.57,3.01,77374.37,3.23,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Haryana,410.35,2.29,57581.17,2.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Himachal Pradesh,64.32,0.36,7821.2,0.33,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Jammu and Kashmir,88.43,0.49,11544.77,0.48,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Jharkhand,206.06,1.15,28022.42,1.17,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Karnataka,1263.4,7.06,173465.79,7.24,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Kerala,362.28,2.02,50824.24,2.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Ladakh,3.63,0.02,651.93,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Lakshadweep,0.5,0.0,60.39,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Madhya Pradesh,575.99,3.22,77961.24,3.26,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Maharashtra,2382.34,13.31,278375.41,11.62,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Manipur,13.51,0.08,2844.24,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Meghalaya,14.32,0.08,1971.84,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Mizoram,9.76,0.05,1555.83,0.06,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Nagaland,10.89,0.06,1769.78,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Odisha,362.01,2.02,44717.27,1.87,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Puducherry,17.44,0.1,2384.85,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Punjab,212.04,1.19,34535.98,1.44,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Rajasthan,668.4,3.74,98142.13,4.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Sikkim,8.65,0.05,1221.5,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Tamil Nadu,776.9,4.34,115363.33,4.82,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Telangana,949.72,5.31,147127.52,6.14,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Tripura,13.94,0.08,1936.41,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Unclassified,4928.3,27.56,616518.29,25.76,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Uttar Pradesh,1206.85,6.74,159811.36,6.67,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,Uttarakhand,125.79,0.7,15444.37,0.64,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2025-26,April,West Bengal,500.08,2.79,74892.26,3.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Andaman and Nicobar Islands,3.66,0.02,597.85,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Andhra Pradesh,524.69,2.87,93739.59,3.78,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Arunachal Pradesh,17.7,0.1,2450.07,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Assam,181.37,0.99,22815.27,0.92,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Bihar,414.96,2.27,64098.56,2.59,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Chandigarh,24.74,0.14,3054.21,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Chhattisgarh,128.15,0.7,17043.76,0.69,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Dadra and Nagar Haveli and Daman and Diu,10.57,0.06,1095.97,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Delhi,419.25,2.29,53531.51,2.16,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Goa,32.62,0.18,4518.59,0.18,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Gujarat,470.83,2.57,70343.32,2.84,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Haryana,346.8,1.89,49619.26,2.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Himachal Pradesh,57.13,0.31,7048.59,0.28,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Jammu and Kashmir,71.77,0.39,10046.35,0.41,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Jharkhand,166.62,0.91,23760.23,0.96,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Karnataka,1092.86,5.97,152072.42,6.14,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Kerala,353.95,1.93,50645.7,2.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Ladakh,2.55,0.01,419.6,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Lakshadweep,0.52,0.0,64.59,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Madhya Pradesh,427.85,2.34,58146.44,2.35,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Maharashtra,2195.56,12.0,254485.23,10.27,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Manipur,12.02,0.07,2655.73,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Meghalaya,13.07,0.07,1880.92,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Mizoram,10.02,0.05,1681.13,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Nagaland,9.97,0.05,1726.32,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Odisha,281.28,1.54,38771.5,1.57,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Puducherry,16.94,0.09,2340.69,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Punjab,194.7,1.06,33048.66,1.33,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Rajasthan,515.61,2.82,78119.12,3.15,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Sikkim,7.77,0.04,1063.13,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Tamil Nadu,730.26,3.99,111554.31,4.5,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Telangana,784.35,4.29,124966.41,5.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Tripura,13.16,0.07,1871.46,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Unclassified,7294.9,39.86,925976.91,37.38,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Uttar Pradesh,962.13,5.26,134045.16,5.41,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,Uttarakhand,105.37,0.58,13275.09,0.54,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,March,West Bengal,405.81,2.22,64647.94,2.61,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Andaman and Nicobar Islands,3.23,0.02,533.96,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Andhra Pradesh,463.16,2.88,81827.59,3.73,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Arunachal Pradesh,15.28,0.09,2142.1,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Assam,161.35,1.0,20021.98,0.91,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Bihar,357.22,2.22,56338.15,2.56,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Chandigarh,21.37,0.13,2680.5,0.12,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Chhattisgarh,111.86,0.69,15520.81,0.71,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Dadra and Nagar Haveli and Daman and Diu,9.32,0.06,967.59,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Delhi,359.92,2.23,46373.85,2.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Goa,29.53,0.18,4063.02,0.18,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Gujarat,416.26,2.58,62967.52,2.87,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Haryana,302.23,1.88,44342.88,2.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Himachal Pradesh,46.84,0.29,5949.44,0.27,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Jammu and Kashmir,60.94,0.38,8287.11,0.38,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Jharkhand,142.33,0.88,19879.81,0.91,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Karnataka,974.07,6.05,132442.52,6.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Kerala,329.57,2.05,45039.43,2.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Ladakh,2.16,0.01,374.76,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Lakshadweep,0.48,0.0,55.1,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Madhya Pradesh,389.67,2.42,53550.1,2.44,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Maharashtra,1892.66,11.75,219913.73,10.01,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Manipur,10.19,0.06,2353.44,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Meghalaya,10.88,0.07,1615.02,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Mizoram,8.6,0.05,1449.75,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Nagaland,8.57,0.05,1502.04,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Odisha,249.75,1.55,34812.97,1.58,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Puducherry,15.15,0.09,2116.13,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Punjab,166.68,1.03,29146.47,1.33,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Rajasthan,460.58,2.86,71687.84,3.26,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Sikkim,6.31,0.04,861.53,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Tamil Nadu,651.15,4.04,99837.67,4.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Telangana,703.4,4.37,111063.09,5.06,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Tripura,11.48,0.07,1676.35,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Unclassified,6410.98,39.8,824254.84,37.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Uttar Pradesh,852.17,5.29,122496.48,5.58,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,Uttarakhand,89.78,0.56,11561.18,0.53,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,February,West Bengal,361.07,2.24,56774.96,2.58,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Andaman and Nicobar Islands,3.73,0.02,629.14,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Andhra Pradesh,551.81,3.25,98020.0,4.17,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Arunachal Pradesh,16.97,0.1,2371.65,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Assam,187.71,1.1,23159.08,0.99,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Bihar,415.4,2.44,63434.86,2.7,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Chandigarh,24.3,0.14,3114.0,0.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Chhattisgarh,134.18,0.79,18521.36,0.79,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Dadra and Nagar Haveli and Daman and Diu,10.77,0.06,1116.37,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Delhi,410.65,2.42,52720.0,2.25,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Goa,35.15,0.21,5030.0,0.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Gujarat,482.44,2.84,75270.23,3.21,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Haryana,339.78,2.0,50647.0,2.16,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Himachal Pradesh,52.98,0.31,7024.65,0.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Jammu and Kashmir,68.04,0.4,9399.84,0.4,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Jharkhand,165.9,0.98,22976.0,0.98,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Karnataka,1133.57,6.67,155521.0,6.62,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Kerala,373.18,2.2,51570.0,2.2,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Ladakh,2.4,0.01,443.79,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Lakshadweep,0.54,0.0,62.42,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Madhya Pradesh,476.41,2.8,65025.01,2.77,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Maharashtra,2126.33,12.51,252411.0,10.75,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Manipur,11.37,0.07,2648.55,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Meghalaya,10.99,0.06,1672.86,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Mizoram,8.72,0.05,1467.61,0.06,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Nagaland,9.03,0.05,1636.33,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Odisha,302.73,1.78,41451.0,1.77,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Puducherry,16.83,0.1,2360.06,0.1,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Punjab,185.78,1.09,33047.11,1.41,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Rajasthan,543.59,3.2,85277.0,3.63,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Sikkim,6.6,0.04,958.74,0.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Tamil Nadu,715.49,4.21,108619.0,4.63,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Telangana,800.24,4.71,128255.0,5.46,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Tripura,12.56,0.07,1860.53,0.08,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Unclassified,5881.16,34.6,766506.14,32.64,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Uttar Pradesh,952.1,5.6,133054.0,5.67,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,Uttarakhand,99.47,0.59,12991.82,0.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,January,West Bengal,427.1,2.51,67764.0,2.89,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Andaman and Nicobar Islands,3.8,0.02,634.86,0.03,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Andhra Pradesh,638.46,3.82,109740.45,4.72,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Arunachal Pradesh,17.76,0.11,2488.91,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Assam,217.0,1.3,26381.26,1.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Bihar,542.86,3.24,81316.39,3.5,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Chandigarh,27.53,0.16,3623.79,0.16,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Chhattisgarh,154.78,0.93,20357.81,0.88,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Dadra and Nagar Haveli and Daman and Diu,11.07,0.07,1132.38,0.05,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Delhi,487.57,2.91,60484.71,2.6,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Goa,38.15,0.23,5427.06,0.23,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Gujarat,513.73,3.07,80180.1,3.45,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Haryana,372.39,2.23,54975.91,2.36,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Himachal Pradesh,57.01,0.34,7459.08,0.32,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Jammu and Kashmir,74.38,0.44,10532.87,0.45,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Jharkhand,191.78,1.15,26267.62,1.13,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Karnataka,1294.78,7.74,175534.51,7.55,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Kerala,369.76,2.21,50206.18,2.16,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Ladakh,2.68,0.02,517.94,0.02,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Lakshadweep,0.5,0.0,55.51,0.0,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Madhya Pradesh,576.28,3.44,76689.59,3.3,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Maharashtra,2231.0,13.34,273245.11,11.75,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Manipur,9.68,0.06,2442.36,0.11,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Meghalaya,14.09,0.08,2184.57,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Mizoram,9.49,0.06,1711.09,0.07,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Nagaland,10.99,0.07,2024.3,0.09,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
2024-25,December,Odisha,375.25,2.24,47492.3,2.04,"volume in millions, volume_contribution in percentage, value in rupees crores, value_contribution in percentage",
